# Z	N	A	e	B/A_MeV	name
81	92	173	78	7.7302	Octun-ium-173
107	153	260	107	7.4071	Unnilsept-ium-260
120	191	311	122	7.1190	Unbinil-ium-311
82	93	175	79	7.7081	Octbi-ium-175
89	135	224	89	7.7729	Octenn-ium-224
73	86	159	75	8.0175	Septtri-ium-159
121	182	303	121	7.1165	Unbiun-ium-303
84	116	200	85	7.9152	Octquad-ium-200
85	117	202	86	7.8845	Octpent-ium-202
53	64	117	52	8.5269	Penttri-ium-117
54	65	119	53	8.5021	Pentquad-ium-119
90	135	225	90	7.7638	Ennnil-ium-225
86	118	204	86	7.8690	Octhex-ium-204
121	183	304	121	7.1143	Unbiun-ium-304
108	153	261	108	7.3842	Unniloct-ium-261
54	66	120	53	8.5248	Pentquad-ium-120
91	136	227	91	7.7455	Ennun-ium-227
122	183	305	122	7.0954	Unbibi-ium-305
108	148	256	103	7.3661	Unniloct-ium-256
109	154	263	109	7.3607	Unnilenn-ium-263
108	154	262	108	7.3894	Unniloct-ium-262
111	180	291	111	7.2795	Ununun-ium-291
87	119	206	87	7.8379	Octsept-ium-206
128	208	336	122	6.9499	Unbioct-ium-336
113	169	282	116	7.2827	Ununtri-ium-282
55	66	121	54	8.4769	Pentpent-ium-121
107	148	255	102	7.3933	Unnilsept-ium-255
92	136	228	92	7.7334	Ennbi-ium-228
112	169	281	115	7.3047	Ununbi-ium-281
81	93	174	80	7.7511	Octun-ium-174
112	180	292	111	7.2711	Ununbi-ium-292
93	136	229	93	7.7129	Enntri-ium-229
56	67	123	55	8.4513	Penthex-ium-123
122	184	306	122	7.1026	Unbibi-ium-306
112	181	293	111	7.2636	Ununbi-ium-293
122	185	307	122	7.0954	Unbibi-ium-307
56	68	124	55	8.4751	Penthex-ium-124
57	70	127	53	8.4553	Pentsept-ium-127
106	148	254	101	7.4246	Unnilhex-ium-254
87	120	207	86	7.8442	Octsept-ium-207
122	186	308	120	7.0970	Unbibi-ium-308
113	181	294	113	7.2500	Ununtri-ium-294
123	187	310	121	7.0724	Unbitri-ium-310
94	136	230	94	7.6970	Ennquad-ium-230
113	182	295	113	7.2473	Ununtri-ium-295
95	134	229	95	7.6713	Ennpent-ium-229
106	149	255	100	7.4253	Unnilhex-ium-255
113	183	296	113	7.2399	Ununtri-ium-296
58	71	129	56	8.4303	Pentoct-ium-129
57	71	128	53	8.4586	Pentsept-ium-128
114	170	284	117	7.2665	Ununquad-ium-284
115	170	285	118	7.2427	Ununpent-ium-285
94	137	231	95	7.6925	Ennquad-ium-231
110	155	265	109	7.3370	Ununnil-ium-265
58	72	130	56	8.4496	Pentoct-ium-130
122	187	309	119	7.0941	Unbibi-ium-309
122	188	310	119	7.0951	Unbibi-ium-310
95	137	232	96	7.6694	Ennpent-ium-232
114	184	298	114	7.2331	Ununquad-ium-298
123	189	312	121	7.0711	Unbitri-ium-312
92	143	235	92	7.6947	Ennbi-ium-235
81	124	205	81	7.9269	Octun-ium-205
115	185	300	116	7.2072	Ununpent-ium-300
105	167	272	105	7.4133	Unnilpent-ium-272
82	94	176	82	7.7389	Octbi-ium-176
96	138	234	97	7.6542	Ennhex-ium-234
