exre: stochastic chemical discovery
seeds: 27   iters: 800000   T: 350.0   rng: 4242
[novel] H                 E=270.0  atoms=1 bonds=0  parent=HCl
[novel] NOMgCa            E=-1546.4  atoms=4 bonds=3  parent=HCl
[best ] NOMgCa            E=-1546.4  atoms=4 bonds=3  parent=HCl
[novel] C2HOMgBr          E=2453.6  atoms=6 bonds=5  parent=methylamine
[novel] NFBr              E=4450.0  atoms=3 bonds=0  parent=hydrazine
[novel] Cl2               E=-63.0  atoms=2 bonds=1  parent=chloromethane
[novel] HNaPBr            E=1517.2  atoms=4 bonds=3  parent=phosphine
[novel] NaMgCl            E=-453.7  atoms=3 bonds=2  parent=HCl
[novel] NK                E=238.9  atoms=2 bonds=1  parent=H2
[novel] CS                E=-182.9  atoms=2 bonds=1  parent=CO
[novel] CNO2FCa           E=2397.9  atoms=6 bonds=3  parent=methylamine
[novel] H3PK              E=5991.5  atoms=5 bonds=4  parent=phosphine
[novel] H2PK              E=4403.5  atoms=4 bonds=3  parent=phosphine
[novel] CHNO3Ca           E=3926.2  atoms=7 bonds=5  parent=methylamine
[novel] FNa               E=-892.8  atoms=2 bonds=1  parent=H2S
[novel] CNSCl             E=466.4  atoms=4 bonds=4  parent=H2S
[novel] CH2NO2F           E=3534.8  atoms=7 bonds=6  parent=methylamine
[novel] CHN2              E=2794.0  atoms=4 bonds=3  parent=hydrazine
[novel] H3N2Cl            E=4955.5  atoms=6 bonds=5  parent=hydrazine
[novel] H3N2O             E=5186.0  atoms=6 bonds=5  parent=methylamine
[novel] CO2Br             E=-896.4  atoms=4 bonds=3  parent=CO
[novel] CO                E=101.0  atoms=2 bonds=1  parent=O2
[novel] CHCa              E=368.2  atoms=3 bonds=2  parent=HCl
[novel] CH2OFCa           E=1072.9  atoms=6 bonds=5  parent=chloromethane
[novel] CH3               E=5301.0  atoms=4 bonds=3  parent=methane
[novel] CNO2              E=-471.0  atoms=4 bonds=3  parent=methylamine
[novel] C2H3N             E=5729.0  atoms=6 bonds=5  parent=ethane
[novel] NaPBr2            E=1699.2  atoms=4 bonds=2  parent=phosphine
[novel] CMg               E=301.0  atoms=2 bonds=1  parent=H2
[novel] CH3NOBr           E=4665.9  atoms=7 bonds=6  parent=methylamine
[novel] C2H2N2            E=5940.4  atoms=6 bonds=5  parent=hydrazine
[novel] H3PKBr            E=5947.6  atoms=6 bonds=5  parent=phosphine
[novel] HNOK              E=-334.6  atoms=4 bonds=3  parent=hydrazine
[novel] Ca                E=810.0  atoms=1 bonds=0  parent=H2
[novel] CH2               E=4164.0  atoms=3 bonds=2  parent=methane
[novel] CHNO3Ca           E=2909.2  atoms=7 bonds=5  parent=methylamine
[novel] HOFP              E=1410.2  atoms=4 bonds=3  parent=phosphine
[novel] NKCa              E=-603.0  atoms=3 bonds=2  parent=H2
[novel] C2HNSKBr          E=3405.4  atoms=7 bonds=6  parent=methylamine
[novel] CClCa             E=453.2  atoms=3 bonds=2  parent=H2S
[novel] FCl               E=-138.7  atoms=2 bonds=1  parent=HCl
[novel] CH2FCl2           E=1350.0  atoms=6 bonds=5  parent=chloromethane
[novel] CNO3Ca            E=2462.2  atoms=6 bonds=4  parent=methylamine
[novel] NMgK              E=401.8  atoms=3 bonds=2  parent=H2
[novel] CHNO2FClCa        E=3093.3  atoms=8 bonds=6  parent=methylamine
[novel] H3N4P             E=3552.8  atoms=8 bonds=7  parent=hydrazine
[novel] CN                E=2215.0  atoms=2 bonds=1  parent=H2
[novel] FS                E=-14.4  atoms=2 bonds=1  parent=HF
[novel] CHN2O2S           E=2323.4  atoms=7 bonds=7  parent=methylamine
[novel] CO2NaCa           E=2067.7  atoms=5 bonds=3  parent=methylamine
[novel] OBr               E=73.9  atoms=2 bonds=1  parent=H2
[novel] CHN4              E=4076.0  atoms=6 bonds=4  parent=hydrazine
[novel] C3Ca              E=-763.6  atoms=4 bonds=4  parent=ethyne
[novel] CNF               E=1434.8  atoms=3 bonds=2  parent=H2
[novel] NaBr              E=-386.9  atoms=2 bonds=1  parent=H2
[novel] MgK               E=73.0  atoms=2 bonds=1  parent=H2
[novel] H2OCa             E=4246.6  atoms=4 bonds=3  parent=phosphine
[novel] CH3OBr            E=5949.0  atoms=6 bonds=5  parent=methanol
[novel] KBr               E=-441.4  atoms=2 bonds=1  parent=HCl
[novel] CHNCa             E=1120.2  atoms=4 bonds=3  parent=methylamine
[novel] CHNOF             E=1586.0  atoms=5 bonds=4  parent=methylamine
[novel] NaClBr            E=-651.0  atoms=3 bonds=2  parent=HCl
[novel] CO3Ca             E=1785.2  atoms=5 bonds=3  parent=methylamine
[novel] S                 E=810.0  atoms=1 bonds=0  parent=H2
[novel] C2HN3O            E=5992.0  atoms=7 bonds=5  parent=hydrazine
[novel] OPBr              E=343.9  atoms=3 bonds=2  parent=H2
[novel] NFKCa             E=-1023.2  atoms=4 bonds=3  parent=H2
[novel] NF                E=569.8  atoms=2 bonds=1  parent=H2
[novel] CHN2CaBr          E=5060.2  atoms=6 bonds=3  parent=hydrazine
[novel] OFP               E=522.2  atoms=3 bonds=2  parent=phosphine
[novel] CHONa             E=-597.0  atoms=4 bonds=3  parent=formic_acid
[novel] OF                E=68.2  atoms=2 bonds=1  parent=H2
[novel] Cl                E=270.0  atoms=1 bonds=0  parent=chloromethane
[novel] CF                E=1315.0  atoms=2 bonds=1  parent=methane
[novel] H2Si              E=4452.4  atoms=3 bonds=2  parent=silane
[novel] C2N               E=1690.0  atoms=3 bonds=2  parent=methylamine
[novel] HNOS              E=1805.4  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] OP                E=720.0  atoms=2 bonds=1  parent=O2
[novel] CHNO              E=1356.0  atoms=4 bonds=3  parent=ethene
[novel] CHNaCa            E=-477.3  atoms=4 bonds=3  parent=HCl
[novel] CN2O2             E=1419.0  atoms=5 bonds=5  parent=methylamine
[novel] SBr               E=83.5  atoms=2 bonds=1  parent=H2
[novel] HFNa2             E=4196.2  atoms=4 bonds=2  parent=hydrazine
[novel] CHONaK            E=-285.0  atoms=5 bonds=4  parent=formic_acid
[novel] N2S               E=905.8  atoms=3 bonds=2  parent=H2S
[novel] HPKBr             E=1352.6  atoms=4 bonds=3  parent=phosphine
[novel] OMg               E=-76.5  atoms=2 bonds=1  parent=HF
[novel] CN2               E=100.0  atoms=3 bonds=2  parent=hydrazine
[novel] HNNaPBr           E=2064.6  atoms=5 bonds=4  parent=phosphine
[novel] CHNP              E=1979.4  atoms=4 bonds=3  parent=methylamine
[novel] CH2NO             E=3905.0  atoms=5 bonds=4  parent=methylamine
[novel] CNCl2             E=88.4  atoms=4 bonds=3  parent=chloromethane
[novel] CHNFCl            E=-361.0  atoms=5 bonds=4  parent=chloromethane
[novel] H2PK2             E=3942.0  atoms=5 bonds=4  parent=phosphine
[novel] HPS               E=2030.6  atoms=3 bonds=2  parent=phosphine
[novel] C2N               E=1288.0  atoms=3 bonds=2  parent=methylamine
[novel] NS                E=-164.2  atoms=2 bonds=1  parent=H2S
[novel] NO2FCa            E=2633.5  atoms=5 bonds=2  parent=methylamine
[novel] C2H3O             E=5836.0  atoms=6 bonds=5  parent=ethane
[novel] HNO               E=2038.0  atoms=3 bonds=2  parent=hydrogen_peroxide
[novel] C2H2NK            E=5189.5  atoms=6 bonds=5  parent=ethane
[novel] C                 E=2970.0  atoms=1 bonds=0  parent=HCl
[novel] N2O2              E=452.0  atoms=4 bonds=3  parent=methylamine
[novel] C3NO              E=2245.0  atoms=5 bonds=4  parent=methylamine
[novel] NaCa              E=-126.7  atoms=2 bonds=1  parent=H2
[novel] FBr               E=-157.9  atoms=2 bonds=1  parent=HF
[novel] NaMgBr            E=-213.4  atoms=3 bonds=2  parent=HCl
[novel] HNBr              E=4979.0  atoms=3 bonds=1  parent=hydrazine
[novel] CHNO2FMgClCa      E=2591.8  atoms=9 bonds=7  parent=methylamine
[novel] CMgCl             E=-477.0  atoms=3 bonds=2  parent=H2
[novel] FCa               E=-678.1  atoms=2 bonds=1  parent=methane
[novel] CNPSK             E=279.4  atoms=5 bonds=4  parent=methylamine
[novel] MgCl2Ca           E=-960.3  atoms=4 bonds=3  parent=HCl
[novel] HP                E=2578.0  atoms=2 bonds=1  parent=phosphine
[novel] CNO2FMgClCa2      E=114.9  atoms=9 bonds=6  parent=methylamine
[novel] C2HNSK            E=3510.5  atoms=6 bonds=5  parent=ethane
[novel] HNK               E=2596.4  atoms=3 bonds=2  parent=methylamine
[novel] NFCa              E=-619.9  atoms=3 bonds=2  parent=HF
[novel] C2P               E=1388.4  atoms=3 bonds=2  parent=methylamine
[novel] CHNSKBr           E=3282.4  atoms=6 bonds=5  parent=methylamine
[novel] CHNONaClCa        E=2741.1  atoms=7 bonds=5  parent=methylamine
[novel] NaClKBr           E=-313.0  atoms=4 bonds=3  parent=phosphine
[novel] C2                E=1006.0  atoms=2 bonds=1  parent=ethyne
[novel] O2Mg              E=-723.0  atoms=3 bonds=2  parent=SO2
[novel] H2N2O             E=3667.0  atoms=5 bonds=4  parent=hydrazine
[novel] HNOMg             E=1709.9  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] C2HNO2F           E=3240.8  atoms=7 bonds=6  parent=methylamine
[novel] CHN2OFCaBr        E=4364.3  atoms=8 bonds=5  parent=hydrazine
[novel] OClCa             E=-88.2  atoms=3 bonds=2  parent=HCl
[novel] HNOPCa            E=2960.0  atoms=5 bonds=4  parent=phosphine
[novel] CH2N3Ca           E=7211.5  atoms=7 bonds=5  parent=hydrazine
[novel] NNaCl2K2          E=-868.0  atoms=6 bonds=5  parent=phosphine
[novel] CONaCa            E=2095.7  atoms=4 bonds=2  parent=methylamine
[novel] CH2OMgCl          E=1391.0  atoms=6 bonds=5  parent=formic_acid
[novel] HN2FCl            E=2990.5  atoms=5 bonds=4  parent=hydrazine
[novel] CNO2Ca            E=797.2  atoms=5 bonds=4  parent=methylamine
[novel] PKBr              E=-235.4  atoms=3 bonds=2  parent=phosphine
[novel] H3OSi             E=5435.8  atoms=5 bonds=4  parent=silane
[novel] H2N2OK            E=2915.9  atoms=6 bonds=5  parent=methylamine
[novel] CHN3O             E=2726.0  atoms=6 bonds=4  parent=hydrazine
[novel] CP                E=565.4  atoms=2 bonds=1  parent=methylamine
[novel] H2OPS             E=3708.6  atoms=5 bonds=4  parent=phosphine
[novel] HNOFP             E=2078.6  atoms=5 bonds=4  parent=phosphine
[novel] CHNFCa            E=1027.0  atoms=5 bonds=4  parent=ethyne
[novel] CNaCa             E=385.7  atoms=3 bonds=2  parent=HCl
[novel] CH2N2O            E=2570.0  atoms=6 bonds=5  parent=methylamine
[novel] C2OClBr           E=956.6  atoms=5 bonds=4  parent=methylamine
[novel] CO2ClBr           E=-885.6  atoms=5 bonds=4  parent=CO
[novel] CHN               E=-16.0  atoms=3 bonds=2  parent=hydrazine
[novel] CHNMg             E=1063.0  atoms=4 bonds=3  parent=methylamine
[novel] ONaK              E=-480.1  atoms=3 bonds=2  parent=NO
[novel] C2HN2OS           E=5327.8  atoms=7 bonds=5  parent=hydrazine
[novel] N2Na              E=403.4  atoms=3 bonds=2  parent=H2S
[novel] FClCa             E=-320.1  atoms=3 bonds=2  parent=HCl
[novel] C2ClCa            E=1055.2  atoms=4 bonds=3  parent=H2S
[novel] PBr               E=-13.9  atoms=2 bonds=1  parent=H2
[novel] C2Ca              E=102.2  atoms=3 bonds=2  parent=ethyne
[novel] ClKBr             E=-16.1  atoms=3 bonds=2  parent=phosphine
[novel] HN2OFCl           E=2879.5  atoms=6 bonds=5  parent=hydrazine
[novel] NSK               E=-315.3  atoms=3 bonds=2  parent=H2
[novel] CN2NaSK           E=1262.2  atoms=6 bonds=5  parent=methylamine
[novel] H2NK              E=2265.5  atoms=4 bonds=3  parent=phosphine
[novel] CHN2O2PS          E=2279.1  atoms=8 bonds=8  parent=methylamine
[novel] COFS              E=-232.7  atoms=4 bonds=3  parent=CO
[novel] CNO2S             E=1066.4  atoms=5 bonds=4  parent=formic_acid
[novel] CHNOBr            E=2144.9  atoms=5 bonds=4  parent=methylamine
[novel] CHK               E=158.9  atoms=3 bonds=2  parent=HCl
[novel] CNOPClK           E=-564.3  atoms=6 bonds=5  parent=methylamine
[novel] CH3S              E=5819.0  atoms=5 bonds=4  parent=methane
[novel] PS                E=-157.4  atoms=2 bonds=1  parent=NO
[novel] CNa               E=1404.5  atoms=2 bonds=1  parent=methane
[novel] HO2K              E=-1108.5  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] CFMgBr            E=1718.4  atoms=4 bonds=3  parent=HF
[novel] N3                E=592.0  atoms=3 bonds=2  parent=hydrazine
[novel] CN2O2Ca           E=738.8  atoms=6 bonds=6  parent=methylamine
[novel] NSCl              E=-505.7  atoms=3 bonds=2  parent=H2S
[novel] CNOF              E=1545.2  atoms=4 bonds=3  parent=formic_acid
[novel] CN2F              E=885.0  atoms=4 bonds=3  parent=methylamine
[novel] CHN3S             E=2776.7  atoms=6 bonds=3  parent=hydrazine
[novel] OFS               E=-164.4  atoms=3 bonds=2  parent=HF
[novel] NPS               E=744.2  atoms=3 bonds=2  parent=phosphine
[novel] CO3P              E=2439.4  atoms=5 bonds=3  parent=methylamine
[novel] Na2               E=640.0  atoms=2 bonds=1  parent=methane
[novel] HOFPCl            E=1347.0  atoms=5 bonds=4  parent=phosphine
[novel] H2NCl             E=1326.5  atoms=4 bonds=3  parent=phosphine
[novel] HN2NaK            E=-1188.7  atoms=5 bonds=4  parent=methylamine
[novel] NNa               E=293.4  atoms=2 bonds=1  parent=HCl
[novel] HF                E=1583.0  atoms=2 bonds=1  parent=HF
[novel] HO2               E=1841.0  atoms=3 bonds=2  parent=hydrogen_peroxide
[novel] Mg2Cl             E=-85.2  atoms=3 bonds=2  parent=HCl
[novel] C2H4N             E=5763.0  atoms=7 bonds=7  parent=ethane
[novel] HCa               E=2004.8  atoms=2 bonds=1  parent=phosphine
[novel] H3N2O2            E=3130.0  atoms=7 bonds=6  parent=hydrazine
[novel] NP                E=-21.6  atoms=2 bonds=1  parent=H2S
[novel] H2N2Ca            E=5445.5  atoms=5 bonds=5  parent=hydrazine
[novel] CHNO3KCa          E=2561.9  atoms=8 bonds=6  parent=methylamine
[novel] CH2N3O            E=6005.4  atoms=7 bonds=5  parent=hydrazine
[novel] CHO2Cl            E=502.0  atoms=5 bonds=4  parent=formic_acid
[novel] ONaBr             E=-821.0  atoms=3 bonds=2  parent=H2
[novel] O2Cl              E=857.1  atoms=3 bonds=2  parent=hydrogen_peroxide
[novel] C3HNSK            E=4375.5  atoms=7 bonds=6  parent=ethane
[novel] KBr2              E=-616.9  atoms=3 bonds=2  parent=H2
[novel] CHN3NaCl          E=3857.0  atoms=7 bonds=5  parent=hydrazine
[novel] CNPKCa            E=-106.5  atoms=5 bonds=4  parent=methylamine
[novel] CH2FS             E=3647.0  atoms=5 bonds=4  parent=methane
[novel] C2H2N             E=5129.0  atoms=5 bonds=5  parent=ethane
[novel] HN                E=509.0  atoms=2 bonds=1  parent=phosphine
